Catch,Effort,Time,Catch.P.Eff
975000,25000000,1975,0.039
918000,27000000,1976,0.034
525000,25000000,1977,0.021
966000,42000000,1978,0.023
714000,42000000,1979,0.017
704000,44000000,1980,0.016
640000,64000000,1981,0.01
880000,80000000,1982,0.011
783000,87000000,1983,0.009
774000,86000000,1984,0.009
800000,100000000,1985,0.008
763000,109000000,1986,0.007
891000,99000000,1987,0.009
714000,102000000,1988,0.007
721000,103000000,1989,0.007
475000,95000000,1990,0.005
660000,110000000,1991,0.006
540000,90000000,1992,0.006
445000,89000000,1993,0.005
520000,104000000,1994,0.005
650000,130000000,1995,0.005
492000,123000000,1996,0.004
324000,108000000,1997,0.003
448000,112000000,1998,0.004
396000,132000000,1999,0.003
375000,125000000,2000,0.003
244000,122000000,2001,0.002
242000,121000000,2002,0.002
201000,112000000,2003,0.001794643
196000,130000000,2004,0.001507692
124000,96000000,2005,0.001291667
