Year,Yield
1943,7.391054394
1944,8.182877823
1945,7.694150673
1946,8.602347502
1947,8.864442747
1948,7.471739743
1949,8.276147658
1950,9.202511147
1951,8.562921994
1952,8.497503888
1953,9.917550854
1954,8.752934201
1955,9.462727275
1956,9.347141579
1957,8.416547204
1958,10.8059752
1959,8.994778246
1960,8.674192931
1961,9.533668532
1962,12.13250259
1963,12.12042448
1964,11.49722118
1965,11.54227713
1966,13.73237315
1967,12.20009515
1968,12.79933202
1969,12.2667183
1970,12.85729889
1971,11.64814849
1972,11.29991572
1973,16.70187956
1974,16.71708542
1975,15.51209572
1976,16.87399256
1977,12.16995132
1978,15.32069109
1979,18.26522019
1980,14.35722429
1981,15.53095389
1982,15.34929209
1983,15.15444925
1984,17.9608291
1985,18.56580783
1986,18.74420121
1987,17.26787547
1988,17.71704771
1989,19.28223303
1990,22.8233863
1991,21.07108658
1992,31.43845924
1993,19.96654649
1994,26.1612019
1995,34.19486521
1996,23.24495105
1997,31.75833817
1998,26.39368128
1999,26.12625779
2000,40.90556568
2001,47.10115763
2002,34.49048639
2003,43.7918003
2004,31.17553095
2005,39.35393346
2006,38.12090023
2007,58.02435795
2008,46.80534481
2009,63.28572598
2010,66.33495421
2011,68.51920921
2012,55.49468797
2013,72.92550445
2014,69.648573
2015,77.38915172
