site number,distance,altitude,diversity,richness
1,1.5,56,0.184625694,134
2,11.5,57,0.149841967,113
3,21.9,57.4,0.27603256,141
4,31.9,58.3,0.145120325,119
5,42.6,59.3,0.463585265,132
6,53,59.8,0.193388497,113
7,63.3,60.6,0.089807789,111
8,73.9,60.7,0.167660759,111
9,84.5,61.1,0.108262288,122
10,95.2,62.1,0.210186943,108
11,106.1,62.6,0.259383144,113
12,116.3,63.3,0.233774033,113
13,126.4,69.5,0.064053871,110
14,137.2,74.5,0.092959624,99
15,147.5,80.6,0.041946349,109
16,158,86.3,0.065151921,110
17,169,93,0.06705923,98
18,179.1,98.5,0.025704593,97
19,189.4,104.3,0.040581113,81
20,199.4,109.4,0.032053322,72
21,210,114.7,0.036767531,75
22,220.2,120.3,0.017410268,66
23,230.8,126,0.058893586,46
24,241.6,132.9,0.01569215,52
25,252,138.3,0.039960972,43
